time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000013,-0.000003,-0.002570
0.010000,-0.000000,-0.000014,-0.000028,-0.001828
0.015000,-0.000000,-0.000027,-0.000096,-0.001042
0.020000,-0.000001,-0.000092,-0.000220,-0.010868
0.025000,-0.000003,-0.000154,-0.000388,-0.009825
0.030000,-0.000005,-0.000198,-0.000567,-0.009468
0.035000,-0.000009,-0.000252,-0.000723,-0.008355
0.040000,-0.000013,-0.000266,-0.000823,-0.006734
0.045000,-0.000017,-0.000303,-0.000846,-0.006549
0.050000,-0.000021,-0.000311,-0.000780,-0.002818
0.055000,-0.000024,-0.000332,-0.000621,-0.005528
0.060000,-0.000027,-0.000560,-0.000381,-0.013802
0.065000,-0.000028,-0.000638,-0.000081,-0.015327
0.070000,-0.000027,-0.000617,0.000275,-0.011507
0.075000,-0.000024,-0.000678,0.000695,-0.008632
0.080000,-0.000020,-0.000356,0.001184,0.004317
0.085000,-0.000012,-0.000329,0.001733,0.004763
0.090000,-0.000002,0.000047,0.002307,0.015096
0.095000,0.000012,0.000137,0.002859,0.013745
0.100000,0.000027,0.000354,0.003345,0.017991
0.105000,0.000045,0.003267,0.003744,0.118672
0.110000,0.000065,0.003750,0.004020,0.115769
0.115000,0.000085,0.004436,0.004088,0.114400
0.120000,0.000105,0.004893,0.003840,0.113288
0.125000,0.000123,0.005578,0.003179,0.115126
0.130000,0.000135,0.006054,0.002039,0.115861
0.135000,0.000141,0.006750,0.000407,0.115573
0.140000,0.000137,0.007218,-0.001727,0.113036
0.145000,0.000120,0.007890,-0.004345,0.108983
0.150000,0.000090,0.008233,-0.007361,0.103302
0.155000,0.000043,0.008841,-0.010770,0.096111
0.160000,-0.000022,0.008892,-0.014528,0.083311
0.165000,-0.000107,0.009386,-0.018548,0.078504
0.170000,-0.000212,0.009678,-0.022785,0.070464
0.175000,-0.000339,0.010086,-0.027186,0.063869
0.180000,-0.000489,0.010430,-0.031758,0.062717
0.185000,-0.000662,0.010806,-0.036405,0.059965
0.190000,-0.000857,0.011303,-0.041025,0.058558
0.195000,-0.001077,0.011644,-0.045735,0.053628
0.200000,-0.001320,0.011967,-0.050540,0.052787
0.205000,-0.001587,0.000853,-0.055282,-0.000429
0.210000,-0.001877,0.000839,-0.059903,-0.006623
0.215000,-0.002190,0.000789,-0.064373,-0.009992
0.220000,-0.002525,0.000745,-0.068719,-0.012083
0.225000,-0.002881,0.000659,-0.072831,-0.017699
0.230000,-0.003257,0.000577,-0.076699,-0.024478
0.235000,-0.003651,0.000430,-0.080352,-0.025831
0.240000,-0.004063,0.000354,-0.083708,-0.027431
0.245000,-0.004491,0.000190,-0.086833,-0.028268
0.250000,-0.004934,-0.000100,-0.089752,-0.039060
0.255000,-0.005391,-0.000346,-0.092448,-0.043244
0.260000,-0.005861,-0.000762,-0.094938,-0.053217
0.265000,-0.006343,-0.001090,-0.097171,-0.058797
0.270000,-0.006834,-0.001255,-0.099119,-0.057298
0.275000,-0.007335,-0.001609,-0.100794,-0.062323
0.280000,-0.007843,-0.001833,-0.102193,-0.065805
0.285000,-0.008358,-0.002238,-0.103341,-0.069833
0.290000,-0.008877,-0.002523,-0.104249,-0.073828
0.295000,-0.009401,-0.002971,-0.104923,-0.074830
0.300000,-0.009927,-0.003374,-0.105352,-0.076442
0.305000,-0.010454,-0.013693,-0.105513,-0.097963
0.310000,-0.010981,-0.014172,-0.105372,-0.095754
0.314999,-0.011507,-0.014740,-0.104898,-0.096391
0.319999,-0.012029,-0.015164,-0.104072,-0.094081
0.324999,-0.012546,-0.015730,-0.102896,-0.091564
0.329999,-0.013056,-0.016074,-0.101382,-0.095872
0.334999,-0.013558,-0.016640,-0.099532,-0.092333
0.339999,-0.014049,-0.017067,-0.097370,-0.102476
0.344999,-0.014529,-0.017679,-0.094901,-0.101752
0.349999,-0.014995,-0.018132,-0.092129,-0.105368
0.354999,-0.015447,-0.018759,-0.089107,-0.102371
0.359999,-0.015882,-0.019208,-0.085763,-0.103127
0.364999,-0.016300,-0.019825,-0.082128,-0.104563
0.369999,-0.016699,-0.020113,-0.078152,-0.100381
0.374999,-0.017077,-0.020708,-0.073810,-0.095447
0.379999,-0.017432,-0.021085,-0.069068,-0.092458
0.384999,-0.017762,-0.021633,-0.063962,-0.087631
0.389999,-0.018066,-0.022032,-0.058477,-0.087173
0.394998,-0.018341,-0.022547,-0.052737,-0.082662
0.399998,-0.018587,-0.022590,-0.046889,-0.070102
0.404998,-0.018803,-0.015092,-0.040830,0.004546
0.409998,-0.018989,-0.015110,-0.034686,0.010314
0.414998,-0.019144,-0.015038,-0.028599,0.015618
0.419998,-0.019269,-0.015031,-0.022562,0.022892
0.424998,-0.019364,-0.014881,-0.016589,0.030147
0.429998,-0.019430,-0.014741,-0.010824,0.031584
0.434998,-0.019467,-0.014549,-0.005273,0.033345
0.439998,-0.019477,-0.014411,0.000009,0.032634
0.444998,-0.019462,-0.014200,0.004973,0.039191
0.449998,-0.019423,-0.014149,0.009650,0.029921
0.454998,-0.019362,-0.013955,0.013990,0.038223
0.459998,-0.019280,-0.013795,0.017974,0.043333
0.464998,-0.019179,-0.013525,0.021615,0.049152
0.469997,-0.019061,-0.012966,0.024963,0.067105
0.474997,-0.018927,-0.012565,0.028011,0.070849
0.479997,-0.018778,-0.012017,0.030707,0.083512
0.484997,-0.018617,-0.011520,0.033103,0.084436
0.489997,-0.018445,-0.011331,0.035194,0.083200
0.494997,-0.018264,-0.010840,0.036934,0.081442
0.499997,-0.018075,-0.010373,0.038318,0.082969
0.504997,-0.017880,-0.007879,0.039410,0.112559
0.509997,-0.017681,-0.007498,0.040195,0.113761
0.514997,-0.017478,-0.006815,0.040645,0.113745
0.519997,-0.017275,-0.006379,0.040742,0.114117
0.524997,-0.017071,-0.005697,0.040477,0.111505
0.529997,-0.016871,-0.005250,0.039861,0.110822
0.534997,-0.016674,-0.004588,0.038910,0.108129
0.539997,-0.016483,-0.004153,0.037602,0.106053
0.544997,-0.016300,-0.003526,0.035932,0.100740
0.549996,-0.016127,-0.003104,0.033899,0.102518
0.554996,-0.015964,-0.002504,0.031534,0.095468
0.559996,-0.015814,-0.002039,0.028867,0.097439
0.564996,-0.015679,-0.001459,0.025935,0.093086
0.569996,-0.015558,-0.001269,0.022808,0.081757
0.574996,-0.015454,-0.000792,0.019471,0.074488
0.579996,-0.015367,-0.000502,0.015879,0.070973
0.584996,-0.015299,-0.000082,0.012099,0.068609
0.589996,-0.015251,0.000010,0.008135,0.061099
0.594996,-0.015222,0.000362,0.004047,0.053591
0.599996,-0.015214,0.000364,-0.000071,0.043341
