time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000019,0.300030
0.010000,0.000031,0.300057
0.015000,0.000062,0.300105
0.020000,0.000116,0.300143
0.025000,0.000187,0.300210
0.030000,0.000228,0.300260
0.035000,0.000280,0.300344
0.040000,0.000298,0.300407
0.045000,0.000338,0.300509
0.050000,0.000355,0.300583
0.055000,0.000387,0.300704
0.060000,0.000594,0.300790
0.065000,0.000680,0.300928
0.070000,0.000675,0.301027
0.075000,0.000775,0.301183
0.080000,0.000599,0.301293
0.085000,0.000711,0.301468
0.090000,0.000753,0.301590
0.095000,0.000956,0.301782
0.100000,0.001136,0.301916
0.105000,0.005205,0.301283
0.110000,0.005505,0.301364
0.115000,0.005973,0.301490
0.120000,0.006311,0.301577
0.125000,0.006832,0.301712
0.130000,0.007205,0.301805
0.135000,0.007780,0.301949
0.140000,0.008183,0.302048
0.145000,0.008797,0.302201
0.150000,0.009134,0.302306
0.155000,0.009737,0.302468
0.160000,0.009836,0.302579
0.165000,0.010401,0.302750
0.170000,0.010763,0.302867
0.175000,0.011290,0.303047
0.180000,0.011728,0.303169
0.185000,0.012304,0.303358
0.190000,0.012937,0.303487
0.195000,0.013534,0.303684
0.200000,0.014049,0.303819
0.205000,0.021837,0.302969
0.210000,0.022321,0.303068
0.215000,0.023059,0.303219
0.220000,0.023562,0.303322
0.225000,0.024341,0.303479
0.230000,0.024877,0.303585
0.235000,0.025676,0.303749
0.240000,0.026229,0.303859
0.245000,0.027043,0.304028
0.250000,0.027544,0.304143
0.255000,0.028370,0.304318
0.260000,0.028882,0.304437
0.265000,0.029648,0.304618
0.270000,0.030169,0.304740
0.275000,0.030911,0.304927
0.280000,0.031431,0.305054
0.285000,0.032206,0.305247
0.290000,0.032718,0.305377
0.295000,0.033525,0.305576
0.300000,0.034032,0.305711
0.305000,0.035342,0.304754
0.310000,0.035882,0.304861
0.314999,0.036687,0.305024
0.319999,0.037233,0.305135
0.324999,0.038045,0.305302
0.329999,0.038590,0.305415
0.334999,0.039396,0.305587
0.339999,0.039938,0.305704
0.344999,0.040725,0.305880
0.349999,0.041242,0.305999
0.354999,0.041965,0.306180
0.359999,0.042438,0.306302
0.364999,0.043160,0.306488
0.369999,0.043617,0.306613
0.374999,0.044298,0.306803
0.379999,0.044756,0.306931
0.384999,0.045401,0.307126
0.389999,0.045828,0.307257
0.394998,0.046448,0.307456
0.399998,0.046850,0.307590
0.404998,0.061881,0.306572
0.409998,0.062424,0.306684
0.414998,0.063240,0.306854
0.419998,0.063784,0.306968
0.424998,0.064585,0.307142
0.429998,0.065107,0.307258
0.434998,0.065864,0.307435
0.439998,0.066366,0.307554
0.444998,0.067113,0.307735
0.449998,0.067594,0.307856
0.454998,0.068318,0.308041
0.459998,0.068807,0.308165
0.464998,0.069551,0.308352
0.469997,0.070058,0.308479
0.474997,0.070798,0.308670
0.479997,0.071361,0.308799
0.484997,0.072194,0.308994
0.489997,0.072723,0.309126
0.494997,0.073537,0.309325
0.499997,0.074097,0.309458
0.504997,0.037768,0.308402
0.509997,0.037975,0.308516
0.514997,0.038296,0.308690
0.519997,0.038481,0.308807
0.524997,0.038780,0.308983
0.529997,0.038982,0.309102
0.534997,0.039280,0.309282
0.539997,0.039487,0.309403
0.544997,0.039832,0.309586
0.549996,0.040060,0.309709
0.554996,0.040402,0.309895
0.559996,0.040669,0.310020
0.564996,0.041002,0.310209
0.569996,0.041141,0.310336
0.574996,0.041376,0.310528
0.579996,0.041529,0.310657
0.584996,0.041782,0.310852
0.589996,0.041884,0.310984
0.594996,0.042145,0.311182
0.599996,0.042238,0.311315
0.604996,0.044619,0.310232
0.609996,0.044905,0.310349
0.614996,0.045285,0.310525
0.619996,0.045536,0.310643
0.624996,0.045951,0.310822
0.629995,0.046254,0.310942
